2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),00) Under 28 days,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),01) 28 days - under 1 years,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),02) 1,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),03) 2,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),04) 3,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),05) 4,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),06) 5 - 9,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),07) 10 - 19,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),08) 20 - 29,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),09) 30 - 39,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),10) 40 - 49,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),11) 50 - 59,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),12) 60 - 64,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),13) 65 - 69,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),14) 70 - 74,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),15) 75 - 79,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),16) 80 - 84,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),17) 85 and Over,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-002-Cholera(A00),18) Unk,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),00) Under 28 days,F,0
2014,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),01) 28 days - under 1 years,F,0
